"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013",,,,,,,
,,,,,,,
Item,"All
consumer
units",Single consumers,,Consumer units of two or more people,,,
,,No earner,One earner,No earner,One earner,Two earners,"Three or
more
earners"
Number of consumer units (in thousands),"125,670","16,287","21,482","12,730","25,960","39,074","10,137"
,,,,,,,
Consumer unit characteristics:,,,,,,,
,,,,,,,
Income before taxes,,,,,,,
Mean,"$63,784","$18,467","$42,775","$33,241","$60,151","$94,313","$111,100"
SE,922.65,455.48,"1,181.15","1,423.83","1,654.96","1,740.11","3,321.42"
CV(%),1.45,2.47,2.76,4.28,2.75,1.85,2.99
Income after taxes,,,,,,,
Mean,"56,352","17,922","36,440","31,769","54,911","81,365","98,446"
SE,742.16,425.82,922.35,"1,173.25","1,309.06","1,342.28","2,704.38"
CV(%),1.32,2.38,2.53,3.69,2.38,1.65,2.75
,,,,,,,
Age of reference person,50.1,67.2,43.8,64.1,47.5,44.0,48.3
,,,,,,,
Average number in consumer unit:,,,,,,,
People,2.5,1.0,1.0,2.4,3.0,3.0,4.4
Children under 18,.6,n.a.,n.a.,.4,1.0,.8,.9
Adults 65 and older,.3,.7,.1,1.2,.3,.1,.2
Earners,1.3,n.a.,1.0,n.a.,1.0,2.0,3.4
Vehicles,1.9,.9,1.2,1.7,1.9,2.3,3.2
,,,,,,,
Percent distribution:,,,,,,,
,,,,,,,
Reference person:,,,,,,,
Men,47,38,54,47,43,50,49
Women,53,62,46,53,57,50,51
,,,,,,,
Housing tenure:,,,,,,,
Homeowner,64,58,44,75,62,71,78
With mortgage,37,13,28,21,38,53,58
Without mortgage,26,45,16,54,25,19,19
Renter,36,42,56,25,38,29,22
,,,,,,,
Race of reference person:,,,,,,,
Black or African-American,13,14,12,14,16,10,10
"White, Asian, and all other races",87,86,88,86,84,90,90
,,,,,,,
Hispanic or Latino origin of reference person:,,,,,,,
Hispanic or Latino,13,7,8,10,17,14,17
Not Hispanic or Latino,87,93,92,90,83,86,83
,,,,,,,
Education of reference person:,,,,,,,
Elementary (1-8),7,11,2,11,8,4,9
High school (9-12),30,40,23,38,33,26,29
College,63,48,74,51,59,69,62
Never attended and other,a/,a/,a/,a/,a/,a/,a/
,,,,,,,
At least one vehicle owned or leased,87,66,82,85,90,95,97
,,,,,,,
Average annual expenditures,,,,,,,
Mean,"$51,100","$24,570","$36,336","$39,950","$52,594","$65,910","$77,828"
SE,519.52,710.13,588.86,"1,231.12",826.77,685.45,"2,014.47"
CV(%),1.02,2.89,1.62,3.08,1.57,1.04,2.59
,,,,,,,
Food,,,,,,,
Mean,"6,602","3,087","4,096","5,697","7,229","8,278","10,516"
Share,12.9,12.6,11.3,14.3,13.7,12.6,13.5
SE,99.66,116.04,117.13,233.93,192.91,125.99,397.82
CV(%),1.51,3.76,2.86,4.11,2.67,1.52,3.78
Food at home,,,,,,,
Mean,"3,977","2,135","2,119","3,787","4,631","4,711","6,485"
Share,7.8,8.7,5.8,9.5,8.8,7.1,8.3
SE,63.09,63.07,90.71,155.53,128.84,94.93,272.32
CV(%),1.59,2.95,4.28,4.11,2.78,2.01,4.20
Cereals and bakery products,,,,,,,
Mean,544,297,282,523,645,634,893
Share,1.1,1.2,.8,1.3,1.2,1.0,1.1
SE,9.95,10.68,13.08,27.08,20.09,14.32,49.52
CV(%),1.83,3.60,4.63,5.17,3.12,2.26,5.55
Cereals and cereal products,,,,,,,
Mean,185,89,95,159,232,217,307
Share,.4,.4,.3,.4,.4,.3,.4
SE,4.07,4.71,5.26,12.56,9.49,5.85,20.67
CV(%),2.20,5.29,5.52,7.90,4.09,2.70,6.73
Bakery products,,,,,,,
Mean,359,208,187,365,413,417,586
Share,.7,.8,.5,.9,.8,.6,.8
SE,6.75,9.19,9.96,18.16,12.93,11.39,35.49
CV(%),1.88,4.42,5.32,4.98,3.13,2.73,6.06
"Meats, poultry, fish, and eggs",,,,,,,
Mean,856,417,407,856,"1,035",994,"1,500"
Share,1.7,1.7,1.1,2.1,2.0,1.5,1.9
SE,16.16,20.45,23.77,42.73,40.47,25.16,72.47
CV(%),1.89,4.91,5.83,4.99,3.91,2.53,4.83
Beef,,,,,,,
Mean,219,97,86,218,275,256,396
Share,.4,.4,.2,.5,.5,.4,.5
SE,5.06,9.57,7.86,14.40,14.51,8.41,23.26
CV(%),2.31,9.86,9.12,6.60,5.27,3.28,5.88
Pork,,,,,,,
Mean,170,82,75,186,209,193,295
Share,.3,.3,.2,.5,.4,.3,.4
SE,4.72,8.11,6.29,14.56,10.01,8.50,22.19
CV(%),2.78,9.86,8.37,7.83,4.78,4.41,7.51
Other meats,,,,,,,
Mean,119,55,58,118,135,144,219
Share,.2,.2,.2,.3,.3,.2,.3
SE,2.59,3.84,5.00,7.94,7.29,4.99,15.67
CV(%),2.17,6.99,8.59,6.73,5.38,3.47,7.14
Poultry,,,,,,,
Mean,170,78,82,150,201,206,306
Share,.3,.3,.2,.4,.4,.3,.4
SE,4.60,6.63,4.33,11.93,10.00,7.80,22.46
CV(%),2.71,8.47,5.29,7.97,4.97,3.78,7.35
Fish and seafood,,,,,,,
Mean,122,72,75,118,147,133,202
Share,.2,.3,.2,.3,.3,.2,.3
SE,4.40,6.64,10.69,11.69,12.78,5.80,22.20
CV(%),3.60,9.29,14.30,9.88,8.69,4.36,10.98
Eggs,,,,,,,
Mean,56,33,31,66,67,63,82
Share,.1,.1,.1,.2,.1,.1,.1
SE,1.29,2.16,1.45,7.77,2.74,2.48,4.99
CV(%),2.29,6.59,4.64,11.86,4.09,3.95,6.12
Dairy products,,,,,,,
Mean,414,244,225,388,480,494,623
Share,.8,1.0,.6,1.0,.9,.7,.8
SE,7.06,9.10,11.36,14.33,15.17,12.85,30.12
CV(%),1.71,3.72,5.06,3.70,3.16,2.60,4.83
Fresh milk and cream,,,,,,,
Mean,152,83,81,139,186,177,231
Share,.3,.3,.2,.3,.4,.3,.3
SE,2.98,3.68,3.62,6.54,7.99,4.88,11.09
CV(%),1.96,4.41,4.47,4.71,4.30,2.75,4.80
Other dairy products,,,,,,,
Mean,262,161,144,249,294,317,392
Share,.5,.7,.4,.6,.6,.5,.5
SE,5.78,7.75,9.68,10.31,11.36,10.81,23.07
CV(%),2.20,4.81,6.73,4.14,3.87,3.42,5.88
Fruits and vegetables,,,,,,,
Mean,751,408,427,725,868,888,"1,159"
Share,1.5,1.7,1.2,1.8,1.6,1.3,1.5
SE,14.72,17.89,22.42,38.37,28.33,22.50,54.35
CV(%),1.96,4.38,5.25,5.29,3.26,2.53,4.69
Fresh fruits,,,,,,,
Mean,270,153,164,259,303,322,400
Share,.5,.6,.5,.6,.6,.5,.5
SE,6.11,8.20,11.76,19.76,12.86,8.63,23.91
